source,lat,lon,year,PRECTOTCORR,PS,RH2M,T2M,WS2M
NASA_POWER,4.65847,-74.08396,2021,1285.22,82.32054473886329,76.37003142601127,19.120459165386585,1.1040883256528418
NASA_POWER,4.65847,-74.08396,2022,2204.0,82.3238596390169,80.06790616999488,18.535669738863287,1.015181579621096
NASA_POWER,4.65847,-74.08396,2023,1918.58,82.33682494879672,80.2172396953405,18.87026785714286,1.1764971198156682
NASA_POWER,4.65847,-74.08396,2024,1816.08,82.35283503275244,77.74050948584848,19.67320142751205,1.186681621554814
NASA_POWER,4.57781,-74.16628,2021,1285.22,82.32054473886329,76.37003142601127,19.120459165386585,1.1040883256528418
NASA_POWER,4.57781,-74.16628,2022,2204.0,82.3238596390169,80.06790616999488,18.535669738863287,1.015181579621096
NASA_POWER,4.57781,-74.16628,2023,1918.58,82.33682494879672,80.2172396953405,18.87026785714286,1.1764971198156682
NASA_POWER,4.57781,-74.16628,2024,1816.08,82.35283503275244,77.74050948584848,19.67320142751205,1.186681621554814
NASA_POWER,4.73719,-74.06948,2021,1285.22,82.32054473886329,76.37003142601127,19.120459165386585,1.1040883256528418
NASA_POWER,4.73719,-74.06948,2022,2204.0,82.3238596390169,80.06790616999488,18.535669738863287,1.015181579621096
NASA_POWER,4.73719,-74.06948,2023,1918.58,82.33682494879672,80.2172396953405,18.87026785714286,1.1764971198156682
NASA_POWER,4.73719,-74.06948,2024,1816.08,82.35283503275244,77.74050948584848,19.67320142751205,1.186681621554814
NASA_POWER,4.67825,-74.14382,2021,1285.22,82.32054473886329,76.37003142601127,19.120459165386585,1.1040883256528418
NASA_POWER,4.67825,-74.14382,2022,2204.0,82.3238596390169,80.06790616999488,18.535669738863287,1.015181579621096
NASA_POWER,4.67825,-74.14382,2023,1918.58,82.33682494879672,80.2172396953405,18.87026785714286,1.1764971198156682
NASA_POWER,4.67825,-74.14382,2024,1816.08,82.35283503275244,77.74050948584848,19.67320142751205,1.186681621554814
NASA_POWER,4.78375,-74.04414,2021,804.58,75.85867959549411,83.5357688812084,14.172607654889914,1.0367757296466975
NASA_POWER,4.78375,-74.04414,2022,2486.37,75.84642927547362,86.17885259856631,13.636984639016896,0.8948283410138248
NASA_POWER,4.78375,-74.04414,2023,2257.52,75.88522855862776,87.20949327956988,13.80813287250384,1.0636847798259088
NASA_POWER,4.78375,-74.04414,2024,1935.67,75.91668060190335,86.31934232480535,14.40259748485972,1.0948623779508095
NASA_POWER,4.6085,-74.11494,2021,1285.22,82.32054473886329,76.37003142601127,19.120459165386585,1.1040883256528418
NASA_POWER,4.6085,-74.11494,2022,2204.0,82.3238596390169,80.06790616999488,18.535669738863287,1.015181579621096
NASA_POWER,4.6085,-74.11494,2023,1918.58,82.33682494879672,80.2172396953405,18.87026785714286,1.1764971198156682
NASA_POWER,4.6085,-74.11494,2024,1816.08,82.35283503275244,77.74050948584848,19.67320142751205,1.186681621554814
NASA_POWER,4.62505,-74.16133,2021,1285.22,82.32054473886329,76.37003142601127,19.120459165386585,1.1040883256528418
NASA_POWER,4.62505,-74.16133,2022,2204.0,82.3238596390169,80.06790616999488,18.535669738863287,1.015181579621096
NASA_POWER,4.62505,-74.16133,2023,1918.58,82.33682494879672,80.2172396953405,18.87026785714286,1.1764971198156682
NASA_POWER,4.62505,-74.16133,2024,1816.08,82.35283503275244,77.74050948584848,19.67320142751205,1.186681621554814
NASA_POWER,4.6907,-74.08249,2021,1285.22,82.32054473886329,76.37003142601127,19.120459165386585,1.1040883256528418
NASA_POWER,4.6907,-74.08249,2022,2204.0,82.3238596390169,80.06790616999488,18.535669738863287,1.015181579621096
NASA_POWER,4.6907,-74.08249,2023,1918.58,82.33682494879672,80.2172396953405,18.87026785714286,1.1764971198156682
NASA_POWER,4.6907,-74.08249,2024,1816.08,82.35283503275244,77.74050948584848,19.67320142751205,1.186681621554814
NASA_POWER,4.62549,-74.06698,2021,1285.22,82.32054473886329,76.37003142601127,19.120459165386585,1.1040883256528418
NASA_POWER,4.62549,-74.06698,2022,2204.0,82.3238596390169,80.06790616999488,18.535669738863287,1.015181579621096
NASA_POWER,4.62549,-74.06698,2023,1918.58,82.33682494879672,80.2172396953405,18.87026785714286,1.1764971198156682
NASA_POWER,4.62549,-74.06698,2024,1816.08,82.35283503275244,77.74050948584848,19.67320142751205,1.186681621554814
NASA_POWER,4.668,-74.1485,2021,1285.22,82.32054473886329,76.37003142601127,19.120459165386585,1.1040883256528418
NASA_POWER,4.668,-74.1485,2022,2204.0,82.3238596390169,80.06790616999488,18.535669738863287,1.015181579621096
NASA_POWER,4.668,-74.1485,2023,1918.58,82.33682494879672,80.2172396953405,18.87026785714286,1.1764971198156682
NASA_POWER,4.668,-74.1485,2024,1816.08,82.35283503275244,77.74050948584848,19.67320142751205,1.186681621554814
NASA_POWER,4.63177,-74.11749,2021,1285.22,82.32054473886329,76.37003142601127,19.120459165386585,1.1040883256528418
NASA_POWER,4.63177,-74.11749,2022,2204.0,82.3238596390169,80.06790616999488,18.535669738863287,1.015181579621096
NASA_POWER,4.63177,-74.11749,2023,1918.58,82.33682494879672,80.2172396953405,18.87026785714286,1.1764971198156682
NASA_POWER,4.63177,-74.11749,2024,1816.08,82.35283503275244,77.74050948584848,19.67320142751205,1.186681621554814
NASA_POWER,4.57256,-74.08381,2021,1285.22,82.32054473886329,76.37003142601127,19.120459165386585,1.1040883256528418
NASA_POWER,4.57256,-74.08381,2022,2204.0,82.3238596390169,80.06790616999488,18.535669738863287,1.015181579621096
NASA_POWER,4.57256,-74.08381,2023,1918.58,82.33682494879672,80.2172396953405,18.87026785714286,1.1764971198156682
NASA_POWER,4.57256,-74.08381,2024,1816.08,82.35283503275244,77.74050948584848,19.67320142751205,1.186681621554814
NASA_POWER,4.76125,-74.09346,2021,977.86,84.54678878648234,72.43982930107528,21.07174916794675,0.937376728110599
NASA_POWER,4.76125,-74.09346,2022,1981.25,84.56186853558627,80.83137730414747,19.871281810035843,0.9207364951356887
NASA_POWER,4.76125,-74.09346,2023,1570.77,84.56221294162826,78.08568701996928,20.603959165386584,0.9455518433179724
NASA_POWER,4.76125,-74.09346,2024,1607.1100000000001,84.57874230626622,76.28932078853046,21.33943010752688,0.9442607526881721
NASA_POWER,4.57623,-74.13096,2021,1285.22,82.32054473886329,76.37003142601127,19.120459165386585,1.1040883256528418
NASA_POWER,4.57623,-74.13096,2022,2204.0,82.3238596390169,80.06790616999488,18.535669738863287,1.015181579621096
NASA_POWER,4.57623,-74.13096,2023,1918.58,82.33682494879672,80.2172396953405,18.87026785714286,1.1764971198156682
NASA_POWER,4.57623,-74.13096,2024,1816.08,82.35283503275244,77.74050948584848,19.67320142751205,1.186681621554814
NASA_POWER,4.53206,-74.11714,2021,1285.22,82.32054473886329,76.37003142601127,19.120459165386585,1.1040883256528418
NASA_POWER,4.53206,-74.11714,2022,2204.0,82.3238596390169,80.06790616999488,18.535669738863287,1.015181579621096
NASA_POWER,4.53206,-74.11714,2023,1918.58,82.33682494879672,80.2172396953405,18.87026785714286,1.1764971198156682
NASA_POWER,4.53206,-74.11714,2024,1816.08,82.35283503275244,77.74050948584848,19.67320142751205,1.186681621554814
